aakkosellinen	alfabehtalaš
aamuinen	iđidaš
aasialainen	ásialaš
aatteellinen	jurddalaš
aatteellinen	ideálaš
absoluuttinen	absoluhta
absoluuttinen	absoluhtalaš
abstrakti	abstrákta
absurdi	absurda
afrikkalainen	afrihkkálaš
afroamerikkalainen	afroamerihkalaš
aggressiivinen	aggressiiva
ahdas	gárži
ahdas	baski
ahdas	nákkis
ahdas	sajiheapme
ahkera	áŋgir
ahkera	viššal
ahne	váibmil
aiempi	ovddit
aika	viehka
aikaisin	árrat
aikalainen	áigeguoibmi
aikuinen	ollis
aikuinen	rávis
aineellinen	ávnnaslaš
ainoa	áidna
ainoa	áidnu
ainutlaatuinen	earenoamáš
aito	albma
aito	eakti
ajankohtainen	áigeguovdil
ajanmukainen	áigáiheivvolaš
akateeminen	akademalaš
aktiivi	aktiivvalaš
aktiivi	aktiiva
aktiivinen	doaibmi
aktiivinen	aktiiva
akustinen	akustihkalaš
alaikäinen	uminddet
alainen	vuollásaš
alamainen	riikkavuloš
alaston	álás
alava	vuollegaš
alempi	vuolit
alhainen	vuolit
alimmainen	vuolimus
alin	vuolimus
alkeellinen	álggalaš
alkeellinen	álggolaš
alkuperäinen	álgoálgosaš
aloitekyvytön	doaimmaheapme
altis	soddjil
alueellinen	regionála
alueellinen	guovlulaš
alueellinen	guovllulaš
amerikkalainen	amerihkálaš
ammatillinen	fágalaš
ammattimainen	ámmátlaš
ammoinen	áigadas
ammuva	bállálas
ampumaton	bážekeahttá
analoginen	analogalaš
analyyttinen	analyhtalaš
ankara	stroaŋggis
ansaitsematon	ánssáškeahttá
ansaton	gielaheapme
ansiokas	ánssolaš
antelias	addi
antelias	addálas
antelias	addes
antiikkinen	antihkalaš
apostolinen	apostovllalaš
arabialainen	arábalaš
aramealainen	aramealaš
arka	rašši
arka	árgi
arktinen	árktalaš
arktinen	arktalaš
armas	gieris
armollinen	árpmolaš
arpinen	uddui
arvoinen	árvosaš
arvoinen	vearta
arvokas	mávssolaš
arvokas	árvvolaš
asia	ášši
asianmukainen	áššáigullevaš
asianosainen	áššáiosolaš
asiaton	áššeheapme
aukea	rabas
auki	rabas
aulis	dáhtolaš
autio	ávdin
automaattinen	automáhtalaš
autonominen	autonoma
autuas	ávdugas
avulias	veahkálaš
avulla	veahkil
balttilainen	báltalaš
barbaarinen	barbáralaš
belgialainen	belgialaš
biologinen	biologalaš
brittiläinen	brihttalaš
bulgarialainen	bulgárialaš
demokraattinen	demokráhtalaš
digitaalinen	digitála
dramaattinen	dramáhtalaš
dynaaminen	dynámalaš
edellinen	ovddit
edistyksellinen	progressiiva
edullinen	govttolaš
edullinen	ovddolaš
edustava	ovddasteaddji
eeppinen	epihkalaš
eettinen	etihkalaš
egyptiläinen	egyptalaš
ehdollinen	evttolaš
ehjä	čavddis
ehto	eaktu
eilinen	ievttá
ekologinen	ekologalaš
ekolooginen	ekologalaš
eksoottinen	eksotihkalaš
elektroninen	elektronalaš
elinkautinen	agibeaivvi
elinvoimainen	ealas
elliptinen	ellipttalaš
eloansa	ealus
eloisa	ealaskas
elollinen	ealas
elollinen	heakkalaš
elävä	ealli
enemmän	eambbo
englantilainen	eŋgelas
englantilainen	englándalaš
enin	eanemus
ensi	boahtte
ensimmäinen	vuosttaš
ensimmäinen	vuosttas
ensimmäinen	ovddemus
ensisijainen	vuosttaš
entinen	ovddeš
entinen	dolá
epäedullinen	vuoittoheapme
epäilevä	eahpideaddji
epäilyttävä	eahpidahtti
epäinhimillinen	olmmošmeahttun
epäluotettava	oskkáldasmeahttun
epämiellyttävä	unohas
epämääräinen	mearritmeahttun
epänormaali	eahpenormála
epäpätevä	dohkkemeahttun
epäpätevä	eahpedohkálaš
epäselvä	eahpečielggas
epäsuosittu	bivnnuheapme
epätarkka	dárkilmeahttun
epätasainen	rámššas
epätasainen	dássitmeahttun
epätavallinen	eahpedábálaš
epäterveellinen	dearvvašmeahttun
epätodennäköinen	eahpejáhkehahtti
epätäydellinen	dievasmeahttun
epäuskoinen	jáhkkemeahttun
epävakaa	stáđismeahttun
epävarma	eahpesihkar
epävirallinen	eahpevirggálaš
epäystävällinen	ustitmeahttun
erehtyväinen	meaddugas
eri	eará
erikoinen	erenoamáš
erikoinen	liiggálaš
erikoispedagoginen	erenoamášpedagogalaš
erikokoinen	mearkkalaš
erikokoinen	earenoamáš
erikseen	sierra
erilainen	iešguđetlágan
erilainen	earálágan
erilainen	sierralágan
erilainen	earalágan
erillinen	sierra
erinomainen	earenoamáš
eripurainen	snarras
eristäytynyt	sierranas
erityinen	erenomáš
erivärinen	earáivnnat
eroottinen	erohtalaš
eroottinen	erotihkalaš
eräänlainen	muhtinlágan
esi	ovda
esittävä	čájeheaddji
espanjalainen	espánjalaš
esteettinen	estehtalaš
estoinen	caggasan
etelä	lulli
etelä	máddi
eteläisempi	lulit
eteläisempi	oarjjit
eteläisin	lulimus
etevä	čeahppi
etninen	čearddalaš
etsivä	ohcci
etäinen	gáiddus
eurooppalainen	eurohpalaš
evankelinen	evangelalaš
eväätön	niestteheapme
fasistinen	fašisttalaš
feministinen	feministtalaš
fiktiivinen	fiktiiva
filosofinen	filosofalaš
fyysinen	fysihkalaš
geologinen	geologalaš
geometrinen	geometralaš
germaaninen	germánalaš
globaali	globála
graafinen	gráfalaš
haarova	snarras
haaskaava	háskár
haihtuva	hohpi
haiseva	háddjái
haiseva	háissas
haitallinen	vahátlaš
haittaava	hehttejeaddji
hajanainen	bieđggus
hallinnollinen	hálddahuslaš
halpa	hálbi
halukas	dáhtolaš
hankala	vearrái
hankala	unohas
hapan	suvrris
harhaanjohtava	čádjidahtti
harmaa	ránis
harmaakaihi	smáiti
harmaanruskea	ránesruškat
harmoninen	harmonalaš
harottava	reavžžas
harras	duođalaš
harras	áŋgir
harva	hárvi
harvalukuinen	vuorji
harvinainen	hárvenaš
hauras	rašši
hauska	somá
hauska	suohtas
hauska	hávski
hedelmällinen	šattolaš
hehkuva	áhcagas
heikko	headju
heikko	heittot
heikko	láivi
heikko	geahnoheapme
heinäinen	suoidnái
heinätön	ávjjeheapme
helppo	álki
helppo	álkit
helppolypsyinen	luovaskas
hengellinen	vuoiŋŋalaš
hengenvaarallinen	sorpmálaš
henkilökohtainen	persovnnalaš
henkilöllinen	persovnnalaš
henkinen	heakkalaš
henkinen	sánálaš
hento	šiervi
hento	šiervvas
heprealainen	hebreálaš
herkkä	hearki
herkkäuninen	gulles
herkkäuskoinen	jáhkkeš
herkkäuskoinen	jáhkkálas
herraskainen	hearrái
hetkinen	bottaš
hidas	njoahci
hidas	hiđis
