медбур	best
медгажа	happiest
медыджыд	biggest
медыджыд	greatest
медкокни	easiest
медкокни	lightest
медкузь	longest
медматысса	nearest
медъён	strongest
медъюгыд	brightest
Российскӧй	Russian
Шведскӧй	Swedish
абсолютнӧй	absolute
абу	absent
абу	unreal
абу	nonexistent
абутӧм	insufficient
абутӧм	scanty
абутӧм	meagre
абутӧм	nonexistent
абутӧм	absent
авангарднӧй	vanguard
авиационнӧй	aviational
авиационнӧй	aircraft
автобусса	bus
автономнӧй	autonomous
авторскӧй	author's
авъя	civil
авъя	courteous
авъя	polite
авъя	decent
авъя	serious
авъя	intelligent
авъя	knowledgeable
авъя	authoritative
авъя	shy
авъя	composed
авъя	modest
актив	active
активнӧй	active
акцизнӧй	excise
акционернӧй	stockholders'
алапастӧм	ugly
алапастӧм	deformed
аластӧм	ugly
аластӧм	deformed
альтернативнӧй	alternative
алӧйюгыд	scarlet
английскӧй	English
антимонопольнӧй	antimonopoly
арбитражнӧй	arbitrational
аренднӧй	rent
арся	fall
арся	autumnal
артасьысь	triffling
артасьысь	petty
артасьысь	scrupulous
артмытӧм	undeveloped
асалан	possessive
асвӧляа	voluntary
аскежся	individual
аскежся	private
аскежся	individual
аскежся	private
аскиа	tomorrow
аслысног	specific
аслыснога	specific
аслыспӧлӧс	excentric
аслыспӧлӧс	original
аслыспӧлӧс	distinctive
аслысруа	capricious
аслысруа	odd
аслыссикас	original
аслыссикас	special
асныра	stubborn
асныра	whimsical
аспом	private
аспом	own
асруа	stubborn
асруа	whimsical
асруа	eccentric
асруа	odd
асфальта	asphalt
асшӧр	unaffiliated
асшӧр	independent
асъя	morning
асывся	morning
асывъя	morning
багай	mute
базарвывса	market
барскӧй	master's
барскӧй	nobleman's
баръёв	contorted
баръёв	twisted
баръёв	distorted
баръёла	crooked
баръёла	bowlegged
басӧк	beautiful
безграмотнӧй	illiterate
безземельнӧй	landless
безоговорочнӧй	unconditional
белӧй	white
берегдорса	coastal
бережлив	economical
бережлив	prudent
беринӧсь	freckled
берсяма	any
берсяма	every
берсяма	each
бескорыстнӧй	unselfish
бесплоднӧй	futile
бесплоднӧй	fruitless
беспошчаднӧй	merciless
беспримернӧй	unparalleled
беспринципнӧй	unprincipled
беспроигрышнӧй	safe
беспутнӧй	dissolute
бессьмертнӧй	immortal
биа	fire
биа	hot
биа	lighted
биа	burning
библиографическӧй	bibliographic
блажен	virtuous
блед	pale
бобӧ	honey!
бобӧ	dear!
бобӧ	darling!
богословнӧй	theological
бодрӧй	cheerful
бодрӧй	vigorous
боевӧй	combat
боевӧй	battle
боевӧй	fighting
бокиса	foreign
бокиса	alien
бокиса	import
бокиса	strange
бокиса	outside
бокпӧла	crooked
бокпӧла	lopsided
бокпӧла	asymmetrical
бокыса	strange
бокыса	foreign
бокыса	alien
бокысса	strange
бокысса	foreign
бокысса	alien
бокӧвӧй	strange
бокӧвӧй	outside
бокӧвӧй	foreign
бокӧвӧй	alien
босьтысь	taking
босьтысь	receiving
братскӧй	brotherly
братскӧй	fraternal
бронированнӧй	armored
бугжыль	unfriendly
бугжыль	askance
бугжыль	malicious
букыд	gloomy
букыд	overcast
букыд	dismal
букыш	gloomy
букыш	somber
букыш	sullen
бур	good
бурдзык	better
бурпӧт	satisfied
бурӧй	brown
бусӧсь	dusty
бушколӧсь	cloudy
быгйӧсь	foamy
быгльӧс	cylindrical
быгъя	foamy
быгъя	frothy
быгыд	pale
быгыд	faded
быдлунъя	daily
быднога	various
быднога	any
бытӧвӧй	social
бытӧвӧй	everyday
бюджетнӧй	budjet
бӧб	foolish
бӧб	stupid
бӧб	dull
бӧжалысь	steerman
бӧжалысь	helmsman
бӧрвывса	back
бӧрвывса	hind
бӧръя	last
бӧръя	final
важ	former
важся	old
важъя	old
варов	talkative
васӧд	damp
веж	green
вежавидзтӧм	indiscrete
вежӧг	jealous
вежӧг	envious
вежӧра	intelligent
векни	narrow
векньыд	narrow
вернӧй	right
вернӧй	proper
верховнӧй	supreme
веськодь	indifferent
веськыд	straight
веськыд	direct
веськӧдлысь	directing
виж	yellow
визув	lively
визув	active
визув	flowing
вильыд	slippery
висньыд	lean
висьлӧс	sickly
внешньӧй	foreign
внутренньӧй	domestic
воддза	previous
воддза	former
водзӧса	indebted
войдӧрся	recent
войся	night
войся	night's
войтыркост	international
вольк	smooth
вольк	slippery
вольк	slick
вомгор	oral
вомгор	verbal
восьса	open
вося	annual
вося	yearly
воча	opposite
вспомогательнӧй	auxiliary
вугралысь	dozing
вуджан	transitive
выль	new
вылі	upper
вына	powerful
вӧвлытӧм	ultimate
вӧвлытӧм	unrivaled
вӧвлытӧм	unparalleled
вӧраса	lively
вӧсни	thin
вӧсни	slender
вӧсньыд	thin
вӧччӧма	smart
гаддясьӧм	calloused
гажа	happy
газӧвӧй	gas
галя	hard
гартола	kinked
гежӧд	rare
гежӧд	few
генеральнӧй	general
географическӧй	geographical
геологическӧй	geological
германскӧй	German
главнӧй	main
главнӧй	chief
главнӧй	principal
главнӧй	head
главнӧй	chief
гольыд	slippery
гора	loud
горач	passionate
горноруднӧй	mining
горш	greedy
госа	fat
государственнӧй	state
государственнӧй	national
гражданскӧй	civil
грамотнӧй	literate
грамотнӧй	educated
гудыр	cloudy
гудыр	murky
гулыд	echoing
гупльӧс	steep
гуся	secret
гуся	stolen
гылыд	slippery
гылыд	rolling
гыма	thundery
гырысь	huge
гырысь	large
гырысь	big
гыӧра	frosty
гыӧра	hoarfrosty
гӧгрӧс	round
гӧгӧрвоана	understandable
гӧгӧрвоана	clear
гӧлиник	impoverished
гӧль	poor
гӧна	fur
гӧна	furry
гӧна	hairy
гӧна	feathered
гӧна	downy
гӧна	fuzzy
гӧрд	red
гӧрысь	plowman
гӧтыртӧм	unmarried
гӧтӧв	ready
дарӧвӧй	gratuitous
дась	ready
дельнӧй	able
дельнӧй	afficient
дельнӧй	practical
детскӧй	children's
детскӧй	child's
джагыд	tight
дженьыд	short
джуджыд	tall
джуджыд	high
джуджыд	deep
дзескыд	tight
дзескыд	cramped
дзескыд	solid
дзибрӧс	shaky
дзибрӧс	unstable
дзибрӧс	unsteady
дзибыр	shaky
дзибыр	unstable
дзибыр	unsteady
дзиръя	hanging
дзолюк	tot
дзоля	small
дзоля	little
дзоля	tiny
дзолядырся	childhood
дзолядырся	children's
дзоляник	tiny
дзоляник	wee
дзонь	whole
дзонь	entire
дзоньвидза	healthy
дзугыль	sad
дзугыль	melancholy
дзугыль	spoiled
дзулькъя	full
дзум	voom
дзум	zim
дзуртан	squeaky
дзуртан	creaky
дзурыд	squeaky
диалектическӧй	dialectical
дик	stupid
дик	foolish
дикӧй	wild
дипломатическӧй	diplomatic
доблестнӧй	valiant
доблестнӧй	valorous
договорнӧй	contractual
долыд	glad
долыд	happy
домавтӧм	unbound
домавтӧм	untied
домавтӧм	unmoored
дон	burning
дона	expensive
дона	dear
дона	beloved
донтӧм	inexpensive
донтӧм	cheap
дошлӧй	clever
дошлӧй	resourceful
дошлӧй	smart
доя	injured
доя	sick
драглӧй	crippled
драглӧй	mutilated
дуб	saltless
дуб	tasteless
дудан	restive
дудан	jibbing
дурк	clumsy
дурк	untidy
дурк	filthy
духовнӧй	spiritual
дыгыд	sluggish
дыгыд	lazy
дыр	long
дыр	lasting
дыш	lazy
дэбыд	lukewarm
дэбыд	tepid
дюж	robust
дюж	vigorous
дюж	enduring
дюж	persevering
дюжлив	robust
дюжлив	vigorous
дюжлив	enduring
дюжлив	persevering
дінладор	stump
дӧзман	angry
дӧзмыд	boring
дӧзьерувса	trust
дӧла	blazing
еджгов	whitish
еджыд	white
енбиа	gifted
енбиа	talanted
жаднӧй	greedy
жан	open
жан	unbuttoned
жар	sweltering
жар	hot
жборган	babbling
жборган	murmuring
жеб	weak
жеб	slight
жеб	poor
желльӧсь	chipped
жер	open
жер	bared
жилищнӧй	residential
жилищнӧй	housing
жугыль	sad
жуним	lukewarm
заботлыв	solicitous
заботлыв	thoughtful
заднӧй	back
законнӧй	legal
законнӧй	lawful
закуч	greedy
закуч	avorice
заморскӧй	overseas
запаслив	economical
запаслив	provisionary
запаснӧй	emergency
запаснӧй	reserve
зарни	gold
зарни	golden
зарубежнӧй	foreign
заслуженнӧй	distinguished
заслуженнӧй	earned
збодер	gallant
збодер	manly
збой	bold
збыль	true
збыль	proper
збыль	real
здоров	strong
здоров	powerful
здоров	burly
здукся	second's
знатнӧй	notable
знатнӧй	distinguished
зрительскӧй	spectator
зрительскӧй	audience
зумыд	permanent
зумыд	firm
зумыд	stable
зумыд	strong
зуркыд	bumpy
зуркыд	rattly
зыбуч	vacillant
зыбуч	shifting
зыка	noisy
зэлыд	tight
зэра	rainy
зіль	diligent
зіль	zealous
зіль	speedy
зӧм	slender
игана	bolted
игана	closed
идеалистическӧй	idealistic
идӧра	productive
идӧра	thrifty
идӧра	economical
идӧра	tidy
идӧра	neat
идӧртӧм	filthy
идӧртӧм	untidy
идӧртӧм	inefficient
изьваса	Iz'va
илъя	silty
илъя	slimy
илӧсь	silty
импортнӧй	import
инвестиционнӧй	investment
индустрияльнӧй	industrial
интеллигентнӧй	intelligent
интеллигентнӧй	cultured
интеллигентнӧй	educated
интереснӧй	interesting
интернациональнӧй	international
инфекционнӧй	infectious
исполнительнӧй	executive
ичӧт	little
ичӧтик	tiny
йитӧдӧсь	chains
йитӧдӧсь	sections
йӧжа	raw
йӧжа	rare
йӧз	strange
йӧз	foreign
йӧз	other
йӧзкост	national
йӧзса	foreign
йӧзса	strange
йӧзӧдтӧм	undeclared
йӧй	stupid
йӧйиник	foolish
йӧнгыльӧсь	knotted
йӧнгыльӧсь	lumpy
кавалерийскӧй	cavalry
кадрӧвӧй	trained
кадрӧвӧй	skilled
кажитчана	pleasing
казеннӧй	public
кальӧб	nervous
каменнӧй	stone
капитальнӧй	complete
капустаа	cabbage
карбердса	suburban
каргӧгӧрса	suburban
кардорса	suburban
карса	city
картинаӧсь	illustrated
карӧй	brown
кассяна	leap
католическӧй	Catholic
кельыд	pale
кельыдгӧрд	pink
кивевйӧс	convenient
кивевйӧс	handy
кид	untamed
кид	coy
кид	wild
кизьӧр	liquid
кизьӧр	wet
кизьӧр	thin
кизьӧр	watery
кизьӧриник	liquid
кизьӧриник	thin
кикурӧд	crude
кикурӧд	clumsy
киподтуя	deft
киподтуя	skilled
киритана	negative
