абсолютнӧй	абсолютный
абу	нет
аварийнӧй	аварийный
авиационнӧй	авиационный
автоматическӧй	автоматический
автономнӧй	автономный
авторитетнӧй	авторитетный
авъя	внимательный
авъя	выразительный
агитационнӧй	агитационный
аграрнӧй	аграрный
агрессивнӧй	агрессивный
агротехническӧй	агротехнический
аддзана	видимый
аддзылӧма	увиденное
адскӧй	адский
азартнӧй	азартный
активнӧй	активный
актуальнӧй	актуальный
алӧй	алый
английскӧй	английский
анонимнӧй	анонимный
античнӧй	античный
арся	осенний
артельнӧй	артельный
арӧса	годовалый
асалан	приватизационный
асвӧляа	добровольный
аскежся	интимный
аслыспӧлӧса	своеобразно
аспом	родной
асшӧр	самостоятельный
асшӧр	частный
асшӧра	самостоятельно
асъядорса	предутренний
асывся	утренний
атомнӧй	атомный
базарбердса	околорыночный
базарвывса	рыночный
базаруйтан	базарный
банкъяскостса	межбанковский
барскӧй	барский
безоговорочнӧй	безоговорочный
белогвардейскӧй	белогвардейский
белӧвӧй	чистовой
бергӧдтӧм	безвозвратный
бергӧдтӧм	невозвращённый
бергӧдчан	поворотный
бергӧдчан	возвратный
берегдорса	прибрежный
бережлив	бережливый
беспартийнӧй	беспартийный
бледпырысь	бледноватый
боевӧй	боевой
бокпӧлӧн	накренившись
болькйӧдчан	булькающий
болькйӧдчана	булькающий
больничаса	больничный
больничнӧй	больничный
большевистскӧй	большевистский
босьтчӧдан	возбуждающий
бригадаса	бригадный
бритчан	бритвенный
бронзӧвӧй	бронзовый
бронированнӧй	бронированный
брусӧвӧй	брусковый
букыд	тяжело
булочнӧй	булочный
булочнӧй	булочная
бур	великодушный
бур	настоящий
бур	здоровый
бур	красивый
бур	высокий
бур	правильный
бурдан	излечимый
бурдлытӧм	неизлечимый
бурдтӧм	незаживший
буржуазнӧй	буржуазный
бурмӧдтӧм	неблагоустроенный
бурӧвӧй	буровой
бурӧвӧй	буровая
бурӧй	бурый
быгъя	пенистый
быгыд	бескровный
быгыдкодь	бледноватый
быддыръя	неотлучный
быдса	целый
бытшкан	колючий
бӧрвывса	задний
бӧрдтӧм	неплачущий
бӧрйысьӧмводзвывса	предвыборный
бӧръя	задний
бӧръя	заключительный
ваа	мочёный
вавывса	водный
вавывса	понтонный
важнӧй	важный
важся	застарелый
вазілля	сырой
валйӧсь	кривой
вапытшса	подводный
варгыль	вихлявый
варгӧс	ленивый
ватнӧй	ватный
ваувса	подводный
вевттьытӧм	открытый
веждӧг	приторный
вежкодь	недозрелый
вежоват	зеленоватый
вежӧра	умный
вежӧртана	разумный
векӧвӧйся	первозданный
веритчытӧм	неуверенность
верктуя	приоритетный
верховнӧй	верховный
веса	весовой
вескӧ	веский
весьлунъя	будничный
видза	приветствие
видзана	охраняемый
видзӧдтӧм	непросмотренный
виж	желток
виж	желчь
вижӧдана	желтеющий
визя	пёстрый
виньдӧдана	обидный
вира	румяный
виччысяна	ожидаемый
виӧма	убитый
воддза	передний
воддза	прежний
воддза	передовой
воддза	ранний
воддза	вводный
водзладорса	передний
водса	горизонтальный
водса	полёгший
военнӧй	военный
вожатӧй	вожатый
вожӧсь	ветвистый
воздушнӧй	воздушный
войся	ночной
войшӧрся	полуночный
вольк	гладкий
вомӧна	поперечный
воронӧй	вороной
ворссьытӧм	беспроигрышный
востер	бойкий
восьса	обнажённый
вочӧжся	годовой
воысь	прибывший
враждебнӧй	враждебный
вуза	продажный
вузалан	товарный
вузалан	продажный
вунлытӧм	немеркнущий
вунлытӧм	безутешный
вуруна	шерстистый
вылысса	менструация
выль	свежий
выліса	верхний
вӧла	подвода
вӧльнӧй	своевольный
вӧлявывса	дикий
вӧрзьывтӧм	немигающий
вӧрзьӧдтӧм	неприкосновенный
гажакодь	подвыпивший
гажтӧмкодь	скучновато
гаруснӧй	гарусный
гежӧдик	реденький
гениальнӧй	гениальный
географическӧй	географический
геройскӧй	геройский
гижӧда	письменный
главнокомандующӧй	главнокомандующий
главнӧй	главный
гожся	летний
гольӧб	колкий
гончӧй	гончая
гортса	домашний
горючӧй	горючее
государственнӧй	государственный
гражданскӧй	гражданский
грамотнӧй	грамотный
граничадорса	пограничный
граничасайса	зарубежный
грузнӧй	грузный
грузнӧй	перегруженный
грузӧвӧй	грузовой
гудыркодь	мутноватый
гудыркодь	тускловатый
гулыд	гулкий
гулыд	яркий
гуся	скрытый
гуся	нелегальный
гуся	интимный
гыа	мятежный
гыда	рысистый
гырнича	корчажный
гырысь	тяжёлый
гӧгӧрвотӧм	недогадливый
гӧгӧрвотӧм	несознательный
гӧдитчытӧм	непригодный
гӧна	ворсистый
гӧна	пушистый
гӧна	махровый
гӧпта	впалый
гӧпта	вогнутый
гӧрба	горбатый
гӧрбыля	согнутый
