абонементный	абонемента
абсурдный	лӧсявтӧм
абхазский	абхаз
авансовый	аванс
авиамодельный	авиамодель
авральный	тэрмӧдлан
австралийский	австралияса
австрийский	австрияса
автобусный	автобус
автогенный	
автоматический	автоматическӧй
автомобильный	автомобиль
авторский	автор
автотранспортный	автотранспорт
автохтонный	вужвойтыра
агатовый	агат
агрономический	агрономия
агропромышленный	агропромышленнӧй
агротехнический	агротехническӧй
адаптированный	кокньӧдӧм
аджарский	аджар
административный	администрация
адмиральский	адмирал
адъютантский	адъютант
адыгейский	адыгей
азербайджанский	азербайджанса
азиатский	азияса
азотистый	азота
акварельный	акварель
акробатический	акробатика
актовый	акт
актёрский	ворсан
албанский	албан
алгебраический	алгебра
алгебраический	алгебраса
алебастровый	вальді
аллегорический	аллегория
аллергический	аллергия
алмазный	алмаз
алойный	алоэ
алфавитный	анбур
алюминиевый	алюминий
алюминиевый	лемень
амбулаторный	бурдӧдчанінса
американский	америкаса
аммиачный	аммиак
ампутированный	вундӧм
амурный	радейтчан
аналитический	аналитическӧй
анархистский	анархист
анатомический	анатомия
английский	англияса
ангорский	ангораса
анимистический	ловзьӧдан
анкетный	анкета
аномальный	нелючки
антипатичный	мустӧм
антихудожественный	художествотӧм
антропологический	антропология
аптечный	аптека
арабский	араб
арбитражный	арбитр
арбитражный	венъюкан
арбузный	арбуз
арестованный	арестуйтӧм
аристократический	аристократ
арифметический	арифметика
арктический	арктикаса
арматурный	арматура
армейский	армия
армейский	армияса
армянский	армян
армячный	сукман
артериальный	артерияса
артиллерийский	артиллерия
археологический	археология
архивный	архивса
архитектурный	стрӧйба
асбестовый	асбест
ассистентский	ассистент
астрономический	астрономия
атакованный	атакуйтӧм
атлетический	атлетическӧй
атомный	атом
атомный	атомнӧй
аттестационный	донъялан
аттический	аттикаса
аудиторский	ревизия
аульный	аулса
аутогенный	асызйӧга
афганский	афган
афишный	афиша
афишный	юӧртан
африканский	африкаса
аховый	
аэродромный	аэродром
багажный	кӧлуй
багорный	багыр
базисный	подув
байковый	байка
байковый	байкӧвӧй
бакалейный	бакалея
баклажанный	баклажан
бактериологический	бактериология
балаганный	балаганса
балалаечный	балалайка
балкарский	балкар
балконный	балконса
балластный	балласт
баллистический	баллистическӧй
баловной	
баловной	
бамбуковый	бамбук
банановый	банан
бандитский	бандит
банкетный	банкет
банкирский	банкир
банный	пывсян
барабанный	барабан
барбарисовый	барбарис
барельефный	мыгӧра
барочный	барокко
баррикадный	баррикадаяса
барский	барин
барсовый	барс
барщинный	барщина
баскетбольный	баскетбол
басовый	бас
батистовый	батист
батрацкий	батрак
башкирский	башкыр
башмачный	башмак
баянный	баян
бедненький	коньӧранӧй
бедняцкий	гӧль
бедренный	лядьвей
безбилетный	билеттӧм
безбородый	тоштӧм
безбровый	синкымтӧм
безверхий	йывтӧм
безвизовый	визатӧм
безвинный	мыжтӧм
безвоздушный	сынӧдтӧм
безвольный	небыд
безгрешный	гректӧм
безденежный	сьӧмтӧм
бездефектный	изъянтӧм
бездефицитный	тырмана
бездорожный	туйтӧм
бездоходный	чӧжӧстӧм
беззвёздный	кодзувтӧм
безземельный	мутӧм
безлошадный	вӧвтӧм
безлунный	тӧлысьтӧм
безлюдный	йӧзтӧм
безмоторный	мотортӧм
безоружный	оружьетӧм
безостый	йикитӧм
безотходный	колястӧм
безрельсовый	рельстӧм
безухий	пельтӧм
безучастный	веськодь
безыдейный	идеятӧм
безымянный	нимтӧм
безынициативный	водзмӧстчытӧм
беллетристический	беллетристика
беловой	лякпастӧм
белогвардейский	белогвардейскӧй
белый	
бельгийский	бельгияса
бельевой	белльӧ
бельевой	паськӧм
бензиновый	бензин
бережливый	
бережёный	
берестяной	сюмӧд
бесквартирный	патератӧм
бесклассовый	классъястӧм
бескостный	лытӧм
бескризисный	кризистӧм
беспалый	чуньтӧм
беспаспортный	паспорттӧм
бесполый	рӧдтӧм
беспородный	йывман
беспримесный	сорлавтӧм
беспристрастный	веськыд
беспроволочный	проводтӧм
бессолевой	совтӧм
бессолнечный	шондітӧм
бесструктурный	тэчастӧм
бесструнный	везтӧм
бессюжетный	сюрӧстӧм
бестарифный	тарифтӧм
бесфамильный	овтӧм
бесхвостый	бӧжтӧм
бетонированный	бетоналӧм
бетонный	бетон
бетонный	бетона
библейский	библияса
библиографический	библиография
библиотечный	библиотека
билетный	билет
биографический	олантуя
биологический	биология
бисквитный	бисквит
благочестивый	еннога
благочинный	
благочинный	
бланковый	бланокса
блошиный	пытш
блудливый	
блудный	шляйтчысь
богатый	
богомольный	еннога
боевой	
бокситовый	боксит
болотный	нюрса
большевистский	большевик
бомбардировочный	бомбардируйтан
борный	борнӧй
босой	кӧмтӧм
ботанический	ботаника
ботанический	ботаническӧй
бочечный	бӧчка
бочечный	бӧчкаса
бражный	сур
братский	вок
бревенчатый	кер
брезентовый	брезент
бригадный	бригадаса
бриллиантовый	бриллиант
бриллиантовый	бриллианта
британский	британияса
бритвенный	бритчан
бритый	бритӧм
бродильный	шузьӧдчан
бродяжнический	зимогоралан
брокерский	сёрнитчӧдан
бронзовый	бронза
брусковый	бруска
брусничный	пув
брусничный	пувъя
брючный	гач
брючный	гача
брюшной	кынӧм
бубновый	бубин
букварный	шыпаскуд
буковый	бук
буксирный	кыскан
буланый	буланӧй
буржуазный	буржуазия
буржуйский	буржуй
бурлацкий	бурлак
бурятский	бурят
бухгалтерский	бухгалтерия
бюджетный	бюджет
бюджетный	бюджетса
бюрократический	бюрократ
бязевый	бязь
вагонный	вагон
вазелиновый	вазелин
вазелиновый	вазелина
валяльный	гындысян
варочный	пусян
варёный	пуӧм
вахтенный	вахтаа
вахтенный	
ваятельный	сёртан
ввозный	ваян
вдевальный	пысалан
вдувной	пӧльтан
вдумчивый	вежӧра
вексельный	вексель
вексельный	вексельса
велосипедный	велосипед
венерический	
венский	венскӧй
вепсский	вепс
вербный	берба
вербованный	медалӧм
вербовочный	медалан
вересковый	тусяпу
вересковый	тусяпуа
верстовой	верста
вертикальный	сувтса
вертлужный	дзулля
вертлявый	
верёвочный	гез
веснушчатый	беринӧсь
ветряной	тӧв
ветчинный	ветчина
вещевой	кӧлуй
вещественный	кӧлуй
веяный	тӧлӧдӧм
взводный	
взводный	взводнӧй
взрослый	
взрывной	грымӧб
вибрационный	сырман
вигоневый	вигонь
винный	вина
виновный	
винтовочный	винтовка
вирусный	вируса
височный	кӧсича
витаминный	витамина
включённый	сюйӧм
вневедомственный	ведомствоӧтдорса
внеклассный	гортса
внеконкурсный	конкурстӧг
внутривенный	венапытшкӧсса
внутригосударственный	канмупытшса
вогульский	йӧгра
водный	ва
водный	вавывса
водоупорный	
водочный	вина
военный	
военный	военнӧй
воздержанный	видзчысьысь
возлюбленный	
воинский	воин
воинский	военнӧй
войсковой	войска
вокальный	сьылан
вокзальный	вокзал
волейбольный	волейбол
волостной	вӧлӧсьт
волостной	вӧлӧсьтса
волосяной	си
воплощённый	
вопросительный	
вороватый	
воронёный	сьӧдӧдӧм
восклицательный	горӧдан
восковой	воска
вощёный	сиськалӧм
впускной	лэдзан
врачебный	врач
врачебный	бурдӧдчан
врубовый	
вспаханный	гӧрӧм
встречный	
всхолмлённый	мылькъя
всякий	
всякий	
всякий	
втолкнутый	йӧткыштӧм
вторничный	воторникся
второй	
второй	
второразрядный	шӧркоддьӧм
вшивый	тойӧсь
въедливый	
въездной	пыран
выборный	
выбраковочный	бракуйтан
выводной	петкӧдан
выворотный	гугӧдан
выдвижной	кыскысян
выжидаемый	виччысяна
выкупной	вештысян
вылитый	
вылощенный	
вылощенный	волялан
вымский	емватас
выпечной	пӧжалӧм
вырезной	серӧдлӧм
вырытый	кодйӧм
высевной	кӧдзан
выселенный	вӧтлӧм
высеченный	сизьдӧм
высокооктановый	ӧдъя
высокопродуктивный	бур
выставочный	выставка
выставочный	выставкавывса
вытертый	чышкӧм
вытисненный	личкалӧм
вытопленный	сывдӧм
вытопной	сывдан
вытравной	травитан
вытяжной	кыскан
выученный	велӧдӧм
выходной	
выходной	шойччысь
выхоленный	
вышибленный	жугӧдӧм
вышивальный	вышивайтчан
вышивной	вышивайтӧм
вышивочный	вышивайтан
вышитый	вышивайтӧм
вьюжный	турӧб
вязаный	кыӧм
вязовый	сирпу
вязовый	сирпуа
габардиновый	габардин
гагатовый	гагат
гагаузский	гагауз
гадальный	гадайтчан
гаечный	гайка
газетный	газет
газетный	газетса
галечный	галяизъя
гаражный	гараж
гардеробный	гардероб
гармонический	
гармонный	гудӧк
гарнизонный	гарнизон
гарнизонный	гарнизонса
гарный	сотан
гарусный	гарус
гастрольный	гастрольса
гастрономический	гастрономия
генеалогический	орд
генеральский	генерал
генетический	вужвуджӧда
географический	география
геодезический	геодезия
геологический	геология
германский	герман
герметический	йиджтӧм
геройский	повтӧм
гиблый	
гимнастический	гимнастика
гимнастический	турисювтчан
гинекологический	гинекология
гипсовый	кориз
гипюровый	гипюр
гипюровый	гипюра
главный	
главный	медтӧдчанатор
глагольный	кадакыв
гладильный	гладитчан
глаженый	гладитӧм
глазастый	
глинистый	сёйӧд
глиняный	сёй
глицериновый	глицерин
глицериновый	глицерина
глотательный	ньылалан
гнездовой	позъя
гнутый	
гоголиный	сювчӧж
годовалый	арӧса
голландский	голландса
головастый	
головоногий	юркока
голословный	подулавтӧм
голосовой	гӧлӧс
голубичный	чӧдлач
голубой	кельыдлӧз
гольдский	гольд
горелый	
горловой	горш
горновой	
горнозаводский	горнозаводскӧй
горностаевый	сьӧдбӧж
городовой	
городовой	
городовой	полицияса
городской	
горский	гӧравывса
горчичный	горчица
горький	
госпитальный	госпитальса
гравитационный	гравитация
гражданский	гражданин
гражданственный	гражданин
грамматический	грамматика
граммофонный	граммофон
гранатный	граната
гранитный	гранит
гранулированный	шольгӧмтӧм
графлёный	визьйӧдлӧм
гребенной	сынана
гребнистый	сорса
гречишный	гречуга
грешный	грека
грибковый	тшака
грибной	тшака
гривистый	
гримёрный	
гриппозный	грипп
громовой	гыма
грошовый	
