Duiska	Germany
Dánmárku	Denmark
Norga	Norway
Ruošša	Russia
Ruoŧŧa	Sweden
Suopma	Finland
Troanddin	Trondheim
addes	generous
addi	generous
addi	giving
addi	giver
adveanta	Advent
ageanta	agent
agálašvuohta	eternity
ahkkái	lasting
ahtanuššat	increase
ain	still
aivvestassii	exactly
akšuvdna	action
albbas	lynx
aldna	gum
alimus	highest
alit	blue
allaagat	aged
allamielalašvuohta	haughtiness
allat	high
allat	illustrious
almmenáhkki	almanac
almmiravda	horizon
almmiriika	heaven
almmustahttit	reveal
almmustahttit	expose
almmustus	exposure
almmá	without
almmálaš	heavenly
alvosit	terribly
ama	nearly
anistupmi	desire
apostal	apostle
apostovllalaš	apostolic
arve	Regen
arvedálki	rain
arvedávgi	rainbow
arveoakti	shower
arvilit	undauntedly
arvit	rain
arvái	rainy
asehaččat	thinly
asehaš	thin
asehašvuohta	thinness
aseheapme	thin
asehisvuohta	thinness
assájit	thickly
astu	leisure
atnemeahttun	useless
attašit	quarrel
attašit	abuse
attáldat	gift
badjeliiluohtehahtti	reliable
badni	spinner
bahodat	malice
bahčavuohta	bitterness
baján	thunder
bajándávgi	rainbow
bajásčuožžileapmi	resurrection
baleš	timid
ballalas	timid
ballevaš	timid
ballu	fear
baluheapme	fearless
balva	cloud
bassat	wash
bassenmuorra	spit
bastilit	sharply
basttoheapme	blunt
batnit	spin
batnit	purr
beahtu	monster
beaivi	day
beaivi	sun
beaivvádat	sunshine
beaivváš	sun
beallemas	flax
beallji	ear
beana	dog
bearal	pearl
bearbma	cover
bearjadat	Friday
beavdi	table
behttosat	tipcat
belohahkii	half
bidjet	auction
bierdna	bear
bievval	executioner
bieđan	idiot
bihkka	tar
bihpar	pepper
biibbal	Bible
biinnidit	torture
bilku	mockery
birobaika	asafoetida
bisma	bishop
bismárra	steelyard
bissul	steady
bissulit	steadily
bivgi	barley
bleahkka	ink
bleahkka	tin
bliánta	pencil
bláđđi	newspaper
boadnjá	husband
boaggái	bowlegged
boagán	belt
boahkku	smallpox
boakkas	bowlegged
boalsttar	pillow
boaluhit	button
boaris	old
bohtal	bottle
bolsttar	mattress
bonjit	knotty
borjjas	sail
borramuš	food
borri	edge
boska	Archangelica
bosttahit	possess
botehtos	potato
botnus	sediment
buhtistit	cleanse
buimman	slowcoach
buljardit	bubble
bulljarakkis	bubble
bummol	cotton
buoidi	fat
buoidivuohta	fatness
buolaš	frost
buolva	generation
buolvadat	generation
buorggos	prohibited
buorástahttit	greet
buoska	fart
buoskkas	farting
buoskut	fart
buotveagalaš	almighty
buressivdnidit	bless
busegáhttu	cat
bussá	cat
buvda	shop
buvru	porridge
buštit	beat
bággu	compulsion
báhkin	heathen
báhkket	bake
báhtareaddji	refugee
báidnejaš	nightmare
báikkiid	about
báissas	swollen
báitevaš	shining
bákŋat	jump
bállit	bellow
bálvá	servant
bárket	tan
bártnálaš	filial
báson	trumpet
básár	bazaar
bátnesoallun	toothpick
bávččas	pain
bázahas	remnant
báđar	refugee
báŋku	bank
bážan	firearm
bážan	firework
caggi	support
cahkat	smoulder
ceakkus	upright
ceakkus	steep
cealkit	greet
cievan	aftermath
cinná	cunnus
cumme	Kuss
cummistit	kiss
cummá	kiss
cuohkki	excuse
cuozza	membrane
cuvzat	nag
dadnet	tin
dahje	or
dahpahat	constipation
dainnago	because
danin	therefore
danne	therefore
dannego	because
dasttá	immediately
datni	pewter
davkkildit	filch
dearistit	steel
dearvvahit	greet
deaŧalaš	important
dennet	draw
devdojupmi	fulfilment
didnu	flint
dielku	spot
dievasmeahttun	incomplete
dihkki	louse
dikta	poem
dimbbar	log
diret	picklock
disdat	Tuesday
divri	insect
doaivvuhisvuohta	discouragement
doapma	busyness
doarjja	support
doarrásii	across
doavttir	doctor
dohppa	sheath
dolá	former
dordnu	door
dovdát	recognize
doŋas	watertight
dugordas	toy
duhkká	doll
duhkoraddat	play
duhkordallat	play
duhpát	tobacco
duhras	bubbling
duhrrat	bubble
duhtodat	truth
duhát	thousand
dukta	manure
duktet	manure
dulbodat	flatness
dulka	interpreter
dulkon	interpreting
dulkot	interpret
dulppas	blunt
dulppil	blunt
dulvi	flood
dumá	inch
duogur	game
duogurdit	play
duogŋat	patch
duohčču	saving
duolbbas	flat
duoltu	dozen
duorastat	Thursday
duorri	wrinkle
duostat	dare
duosttáš	advisable
duođašteaddji	witness
duppal	double
durdi	dirt
duski	crossness
duvdda	support
duvka	(table)cloth
dáhkki	roof
dáhttu	will
dáiggas	medicament
dáigi	dough
dákti	bone
dálsái	nonsensical
dálvi	winter
dámmá	mare
dánset	dance
dánska	Danish
dánsut	dance
dárbbašlaš	necessary
dárjut	offer
dáruiduhttit	Norwegianize
dás	again
dás	here
dássi	level
dássálagaid	quits
dávdi	milt
dávjá	often
eadnebealle	stepmother
eadni	mother
eahccilit	tenderly
eahcálaš	loving
eahpegulolaš	disobedient
eahpidit	doubt
eahpádus	doubt
ealjár	diligent
eallilan	aged
eanemusat	most
earta	pea
earáhuhttit	change
earáhus	change
eatneheapme	motherlesss
eatnálaš	motherly
eavddár	wasteful
eaŋgals	English
eissemearka	example
elefánta	elephant
et	dass
ettet	vinegar
evttolaš	intentional
eváŋgiljon	gospel
eŋgel	angel
fabrihkka	factory
fanas	boat
fearastat	whittling
feasku	handbag
feber	fever
fereguššat	proceed
feret	proceed
feret	behave
feret	experience
fiellu	board
fierbmi	net
fihkon	fig
fiilet	file
fiilu	file
fillehus	seduction
firet	firkin
firkkal	apron
fiskat	yellow
fiskesdávda	jaundice
fisket	fish
fiskár	fisherman
flágga	flag
forminddar	guardian
friija	free
friska	freshly
fuolalaččat	carefully
fuorbma	mould
fuotni	bad
fuođar	fodder
fággádit	wrestle
fáhkkat	abrupt
fáhkkat	sudden
fámoheapme	powerless
fámoheapme	pregnant
fárppal	barrel
fátmi	lap
fávlái	wide
gahkkat	stammer
gahkkit	stammer
gahkkit	cackle
gahkká	stammering
gahpan	isinglass
gahpir	cap
gahpárus	ileum
gahčahat	fall
gahčahat	waterfall
gahčat	ask
gaikot	burst
gait	all
gait	very
gaitdivnnat	altogether
gaitdivnnat	all
gaivát	stare
gakcut	climb
galbmit	freeze
galljodat	width
gardnjil	elbow
garru	swearword
gaskavahkku	Wednesday
gaskoapmi	means
gastit	sneeze
gažaldat	question
gea	look
geafi	poor
geahččalit	try
geahččalit	tempt
geaiddus	invisible
geainnohisvuohta	perplexity
gearggus	prepared
gearra	chalice
geasán	haulier
geađaš	temple
geađgi	stone
geađgái	stony
geaŧŧu	cradle
gefodat	poverty
gelvet	mangle
giehmánni	trader
giehpa	soot
gielaheapme	dumb
gielahisvuohta	dumbness
gieldda	prohibition
gielistit	lie
gielká	toboggan
gielká	(horse)sleigh
gierri	twist
giessasaddat	wriggle
gievdni	kettle
gieđbmi	kettle
gihcat	rustle
gihcci	kid
gihppui	painful
gihpu	pain
gihča	creaking
giikan	telescope
giippár	cooper
giitit	thank
giitit	praise
gikcut	climb
gilga	side
gillámuš	suffering
ginttal	candle
girdit	fly
girji	book
girji	letter
girjjálaš	literary
girku	church
girku	service
girsa	ram
gissá	cat
gistu	coffin
gizzut	climb
giđđa	spring
gižži	brawl
goabbáge	either
goaikkanas	drop
goaivu	spade
goargu	honour
goarrut	sew
goartil	span
goassa	rattling
goassat	rattle
goddi	killer
goddi	slaughterer
goddin	killing
goddin	slaughter
gohppu	cup
goiku	drought
goiku	thirst
goiku	need
golbma	three
golggahus	shedding
gollas	golden
gollet	gild
golli	gold
gonagas	king
gonagaslaš	royal
gordni	corn
gorži	waterfall
gosahat	cough
gossat	cough
govttolaš	reasonable
govva	picture
gođa	woof
gođán	knitting
gođđat	spawn
gođđat	milt
gođđit	weave
gođđit	knit
gođđit	net
gođđu	spawning
gudnju	cunnus
guhkit	far
guhkki	long
guhkkodat	length
guhkku	length
guhppet	cup
guhppá	cupping
guhtta	six
guita	quits
guktii	twice
guktot	both
gulbmi	eyebrow
gullu	hearing
gullu	feeling
gummá	strange
gumpe	wolf
guohca	rotten
guohpat	gather
guoika	rapid(s)
guokte	two
guoktilaš	hypocrite
guoktilaš	hypocritical
guomu	chyme
guopmi	palate
guovdi	dragon
guovlat	peep
guovža	bear
guppar	copper
gurgadas	row
gurku	throat
gurret	empty
gussa	cow
gutna	ash
guđat	sixth
guđđa	swarm
gággá	keg
gáhtta	street
gáhttu	cat
gáhttu	roof
gáhtu	repentance
gáhčči	resin
gáibmi	namesake
gáica	goat
gáiccas	foolish
gáidadit	remove
gáidadit	avert
gáiggas	foolish
gáigi	fool
gáigi	foolish
gála	ford
gállu	forehead
gánda	boy
gánis	sacrum
gánske	perhaps
gáraldat	lashing
gáranas	gable
gárbmestovla	armchair
gárgolaš	fugitive
gásttas	wet
gávastit	yawn
gávcci	eight
gávdnot	exist
gávnnadeapmi	meeting
gávnnas	laugh
gávnnas	laughter
gávpejas	trader
gávpejas	hawker
gávpot	town
gávva	curve
gávva	crook
gávva	bend
gávva	turning
gázzi	household
haddái	expensive
hahcuhit	provoke
hahttá	without
heaboheapme	shameless
heahkelastit	crochet
heahkkalastit	crochet
heahpat	shame
heahpatlaš	shameful
heaibut	wrestle
heaidna	hone
healpput	easily
healpu	easy
heammástus	surprise
heasta	horse
heavnnas	dilatory
heavvanit	drown
heaŋgalohkka	padlock
hebreálaš	Hebrew
heila	whole
heitojupmi	abolition
helbmo	pearl
helbmo	bead
helvet	hell
hihttát	ski
hihtásit	slowly
hiistu	bet
hildu	shelf
himihit	chuckle
historjá	history
hiŋggal	stall
ho	hoy
holvut	howl
holvvas	howling
honet	honey
horsta	sacking
hulaidit	hum
hutki	device
hutki	invention
hutki	fiction
hutkkálaš	inventive
hyš	hush
hádja	smell
hádjosit	collapse
hága	garden
háhtta	hat
háhtádus	tease
hálan	bawler
hánar	skinflint
hárpá	harp
hárva	harrow
hárve	seldom
hárát	rake
hástalus	challenge
hávdádit	bury
hávrravuohta	rancidness
hávvar	oat(s)
hávvi	wound
hávvádahttit	wound
idja	night
iežáhus	change
ihttin	tomorrow
ikte	yesterday
ilbmi	world
ilbmi	air
ipmil	God
ipmil	god
irgi	suitor
irgi	sweetheart
irgi	bridegroom
ivdni	colour
iđit	morning
ja	and
jahki	year
jarkŋasmit	bulge
jeagatmeahttun	disobedient
jeagiheapme	leaky
jeagoheapme	disobedient
jeahkki	watertight
jearggalaš	sensible
jeasta	yeast
jegolaš	obedient
jeđđehahtti	consolable
jeđđehus	comfort
jeđđet	comfort
jiehkki	glacier
jiekŋa	ice
jiekŋa	glacier
jiella	draught
jiellahallat	pet
jiellahastit	pet
jierbmivuohta	shrewdness
jierbmájit	sensibly
jietnadit	utter
johka	river
jonssot	midsummer
jorbat	round
jorgalus	translation
jugahahtti	drinkable
jugahus	solder
jugešvuohta	drunkenness
juguheapme	sober
juhkan	drinking
juhkanvuohta	drunkenness
juhkki	drunkard
jukca	gruel
julii	July
jumeš	twin
junii	June
juo	already
juo	yes
juogadeaddji	sharer
juogadeaddji	distributor
juogadeapmi	distribution
juohkehaš	everyone
juohkit	divide
juohkit	distribute
juommá	buttermilk
juorrudit	gossip
juvdálaš	Jew
juvdálaš	jewish
juvla	wheel
jábmi	corpse
jáhcut	chew
jáhkkarámas	credulous
jáhkku	belief
jálobeavri	lion
jámolaš	mortal
jámálgit	faint
jápmin	death
jápmán	dead
jávri	lake
keaisár	emperor
keallir	cellar
keret	woman
kievkkan	kitchen
kihtta	putty
kihttet	putty
kiikkár	telescope
kilo	kilo(gramme)
klássa	window
knáhppá	syphilis
koahkka	cook
kohppa	cup
komfirmeret	confirm
kontrákta	contract
kore	basket
kosttet	expense
kosttet	cost
kreakta	cancer
kriita	chalk
krisensurbmi	rice
kristtalaš	Christian
kristtalaš	Christian
kristtalaš	Læstadian
kroavis	coarse
krubbá	manger
kruvnnidit	crown
krámbuvda	shop
kránnjá	neighbour
kráva	collar
kuonná	cunnus
kurva	basket
káffe	coffee
kálka	lime
kápihttal	chapter
kárbma	sill
kássahas	pauper
kátkkesmus	catechism
kávrret	rusk
ladju	lead
ladni	fortress
lahttu	limb
lahttu	member
lapmut	bewitch
lasta	leaf
leagástat	dell
leaira	leather
leat	be
ledjon	lion
leháhit	swear
leikošit	joke
lestadiánalaš	Læstadian
leŋge	hame
lievla	steam
lihppu	label
lihtter	litre
liidna	(fishing)line
liiggálaš	superfluous
liiggálaš	special
liika	corpse
liikodit	want
liiru	catch
liivva	bodice
likta	lamp
limpu	lump
linnjá	line
linnjár	ruler
liššá	scythe
loažži	abated
loddabiipu	chimney
loddi	bird
lohkka	lock
lohpidit	promise
lohti	wedge
lonistit	redeem
lossodat	weight
lovpet	escape
lovssa	pilot
lovsset	pilot
lubma	pocket
luhteránalaš	Lutheran
luiste	skate
luistet	skate
luktui	capricious
luktui	exacting
lulli	south
lummor	watch
lunddolaš	natural
lunta	boy
luobit	loosely
luoddaneapmi	splitting
luoddaneapmi	crack
luoggu	mousehole
luoikat	lend
luoitu	calculation
luoskkas	ramshackle
luttohat	rheumatism
luvdet	sweep
lužas	diarrhoea
láhkkodit	pat
láhten	ramrod
láhtti	floor
láhtu	barn
láikkástallat	laze
láirá	clay
láittas	dull
láittas	unpleasant
lámpá	lamp
láppis	lamb
láskkáš	Shrovetide
lássa	lock
lásset	lock
lávgu	bath
lávki	onion
lávki	step
lávlu	singer
lávlut	sing
lávvardat	Saturday
lávži	rein
maiddái	also
maiddái	not
mađis	effect
mearkkalaš	remarkable
measta	nearly
meaštár	master
mehter	metre
miehta	honey
miehtut	lengthwise
mielki	milk
miestta	bush
mieđu	downhill
mieđáhus	consent
mihtolat	downhill
minuhtta	minuutti
mirkko	poison
mirkkohit	poison
mirkkolaš	poisonous
missu	whey
moalla	target
modji	smile
mollat	trans.)
morddár	murderer
muhto	but
muittuhit	admonish
mun	I
muohta	snow
máhta	food
máhttájeaddji	disciple
máhttát	learn
mái	May
máidnu	praise
málbma	ore
málet	paint
mámmon	mammon
mánnu	moon
mánnu	month
mánná	child
máska	mask
mátki	journey
mátkkálaš	traveller
máttabátni	molar
máŧolaš	possible
naa	ja
naa	nanu
namaheapme	nameless
namma	Name
namma	name
nargit	fuck
neavvu	implement
nelet	clove
niegadit	träumen
niehku	dream
nihttet	drohen
nihttit	threaten
niibi	knife
njahkahastit	hiccup
njahkanas	hiccup
njahkastit	hiccup
njalkkas	hiccuping
njaláhas	slippery
njammat	säugen
njealját	fourth
njeallje	four
njielahat	whirlpool
njielan	glutton
njiellat	swallow
njiellu	etc.
njiskut	pilfer
njoallut	lick
njuolggus	etc.
njuolla	arrow
njuorggis	gristle
njuoskkas	wet
njuoskkas	raw
njuovčča	tongue
njurggan	whistle
njurgganas	whistle
njáhcu	thaw
njálgát	sweetly
njálmmaskas	quarrelsome
njálmmálaš	oral
njávkat	caress
nohkameahttun	unending
nohkavaš	transitory
nohkavaš	passing
nohkkat	sleep
nohkkivaš	transitory
nugo	as
nummar	number
nuolus	loose
nuorra	jung
nuorra	young
nuorravuohta	youth
nuovve	Hanfabfall
nuppástus	change
nurrodat	youth
nuvsku	snuff
nuvzat	nag
nábár	Bohrer
nággu	Streit
nággu	Eigensinn
náhpe	Nabel
náhpol	penis
nállo	Nähnadel
náskál	Ahle
návrraš	turnip
náššon	nation
náššuvnnalaš	national
oabbá	sister
oaffaruššat	sacrifice
oahpaheaddji	teacher
oaidnemeahttun	invisible
oainnus	view
oaivil	opinion
oaivil	meaning
oaivveheapme	stupid
oaivvildit	suppose
oamedovdu	conscience
oamiráhkesvuohta	selfishness
oamivánhurskkis	selfrighteous
oapman	stove
oasti	buyer
oastin	purchase
oastit	buy
oađđit	sleep
oažži	flesh
oažži	musculature
ohcamuš	application
ohcu	search
okto	alone
olggos	out
olgogollát	hypocrite
olju	oil
olámuddu	reach
ore	stallion
ores	Männchen
ores	männlich
orgel	organ
ovcci	nine
ovccádassii	ninthly
ovdalgo	before
ovdamearka	example
ovddas	forward(s)
ovttas	together
ođasmuhttit	renew
peanna	pen
persovnnalaš	personal
plokket	plough
plásttar	plaster
pumpet	pump
páhkket	pack
pálbmamuorra	palm
pántet	distrain
pássa	passport
rampo	beröm
reahka	sleigh
reakči	dint
reavgit	belch
reavgut	belch
reaškkas	guffaw
reistát	try
reŋko	stool
ribon	ringworm
ridnu	contest
riebangolli	mica
riegádeapmi	birth
rievttuid	duly
rievttuid	rightly
riffal	pencil
riidet	ride
riifu	rake
rikkis	rich
rimsi	rag
rimsu	rag
rimški	rag
rista	cross
riđo	Sturm
rišša	sulphur
roahkki	hook
roggat	dig
rohccui	licentious
rohke	Roggen
rohtu	copsewood
romfa	trump
ropmivuohta	ugliness
rovvá	wife
rudnet	säga
ruhccái	uncleanly
ruhkku	jar
ruhta	Geld
rukko	Krug
ruktá	(window)pane
rulla	roller
rulla	reel
rullabora	wheelbarrow
rumaš	body
rumaš	corpse
ruohtas	root
ruoksat	red
ruoksi	udder
ruoktot	back
ruoná	green
ruoppas	scabby
ruossa	cross
ruossut	crosswise
ruosta	rust
ruosttas	rusty
ruovdi	iron
ruošša	Russian
ruoššalaš	Russian
ruoŧŧilaš	Swede
ruoŧŧilaš	Swedish
ruppal	ruble
russa	spirt
russat	spirt
russiinávlet	crucify
ruvvet	rub
ruvvet	scrape
ruvvet	massage
ruđaheapme	moneyless
ráddi	brand
rádjo	Mitgift
ráfálaččat	peacefully
ráfálaš	peaceful
ráhkan	cracking
ráhkan	crack
ráhkaniibi	razor
ráhket	shave
ráhkisvuohta	love
ráhkká	truss
ráhkot	krächzen
ráhppái	muddy
ráhput	scrape
ráhtat	rumble
ráhtat	rattle
ráhtis	wheel
ráidalas	ladder
ráinnas	clean
ráisku	rag
ráisku	drunkard
ráksá	Drüse
rámádus	praise
ránis	grey
rápmi	praise
rápmi	boasting
rássi	grass
rátká	Wacholder
ráva	admonition
ráva	instructions
rávrrabihkka	pitch
rávvehus	admonition
ráŋggáštit	punish
ráŋggáštus	punishment
sabit	ski
sajáiduvvat	stick
sakrameanta	sacrament
sapmat	snuffle
sarvva	Elch
sarvvajeagil	Cetraria
seaggi	thin
seaibbat	cattle
seaidni	wall
seaila	seal
seakkit	narrowly
seakti	bait
seaktut	bait
seammá	same
seamu	beard
seanas	trustful
searvegoddi	congregation
seavdnjat	dark
seavdnjat	incomprehensible
seavdnjat	darkness
seavla	sieve
seaŋga	bed
segohas	mixture
segohus	mixture
senet	mustard
septeamber	September
siellu	soul
siepman	seed
sievttas	bait
sihkor	chicory
sikta	sieve
silba	silver
silde	Hering
silki	silk
