abstrákta	abstrakti
addes	antelias
addi	antelias
addálas	antelias
adni	käytteliäs
ahkahaš	ikäinen
ahkit	ikävä
ahkit	tylsä
ahkásaš	ikäinen
aiddolaš	täsmällinen
akademalaš	akateeminen
aktiiva	aktiivinen
akustihkalaš	akustinen
albma	oikea
albma	aito
albma	kunnon
alfabehtalaš	aakkosellinen
alit	sininen
alladávttat	romuluinen
alladávttálaš	romuluinen
allamielalaš	ylimielinen
allat	korkea
allosaš	korkuinen
almmolaš	julkinen
almmáilaš	miehekäs
almmálaš	taivaallinen
alvvalaš	tarmokas
amas	vieras
anistuhkes	himokas
antihkalaš	antiikkinen
apostovllalaš	apostolinen
arat	kiihkeä
arktalaš	arktinen
arveš	tarmokas
arvves	sateinen
arvái	sateinen
asehaš	ohut
aseheapme	ohut
assosaš	paksuinen
assái	paksu
asttuheapme	kiireinen
asálaš	paksuketinen
automáhtalaš	automaattinen
badjeliiluohtehahtti	luotettava
bahá	paha
bahá	vihainen
bahča	kitkerä
bahča	katkera
bahča	pahanmakuinen
bahča	karvas
bajimus	ylin
bajimus	ylimmäinen
bajimuš	ylin
bajit	ylempi
ballalas	pelokas
ballevaš	pelkääväinen
baluheapme	peloton
balvái	pilvinen
barbáralaš	barbaarinen
barggeš	työteliäs
barggoš	työteliäs
baski	ahdas
bassi	pyhä
bastil	terävä
basttoheapme	tylsä
bažekeahttá	lypsämätön
bažihahtti	lypsettävä
beaivválaš	jokapäiväinen
beaivválaš	päivittäinen
beakkán	kuuluisa
beaktil	tehokas
beaktil	ravitseva
bealjeheapme	kuuro
bealljái	isokorvainen
bealátkeahtes	puolueeton
beanttis	suora
beasseheapme	tuoheton
beasseheapme	vähätuohinen
beavkálas	hölösuinen
beaški	paukkuva
belgialaš	belgialainen
berošteaddji	kiinnostunut
bibmui	ruokaisa
biekkus	tuulinen
bienalaš	yksityiskohtainen
bierffas	pörröinen
biikái	piikikäs
bilaterála	bilateraali
bilaterála	kahdenkeskinen
biologalaš	biologinen
birgui	lihakas
birolaš	pirullinen
bissovaš	pysyvä
bistevaš	pysyvä
bistil	pitkäaikainen
bistil	pitkäikäinen
bisttiheapme	lyhytaikainen
bisttiheapme	riittämätön
bivaheapme	viluinen
bivastuhkes	hikoileva
bivnnuheapme	epäsuosittu
bivnnut	suosittu
bivval	leuto
bivval	lauha
bivššas	tyylikäs
boaddit	kookas
boahtte	seuraava
boahtte	tuleva
boahtte	ensi
boahttevaš	tuleva
boaldevaš	polttava
boaresáigásaš	vanhanaikainen
boaris	vanha
boarka	äkkipikainen
boasttu	väärä
bolffas	tuuhea
borggas	pyryinen
borgái	pyryinen
borgárlaš	porvarillinen
borrái	särmikäs
boršui	kuohuva
bođđui	karikkoinen
brihttalaš	brittiläinen
buhtis	puhdas
buljas	pullottava
bullas	pullottava
bulljái	pullottava
bullái	pullottava
buoiddeheapme	rasvaton
buoiddeheapme	vähärasvainen
buoidi	lihava
buoidi	paksu
buolaš	pakkanen
buollevaš	palava
buolli	palava
buoloheapme	palamaton
buorggos	kielletty
buorre	hyvä
buotveagalaš	kaikkivaltias
buozas	sairas
buozus	sairas
buozus	sairaana
buskolas	piereskeleväinen
bussái	verkkainen
buškkas	soukka
báddebahá	änkyrä
báhcálas	vitkutteleva
báhkas	kuuma
báikkolaš	paikoittainen
báikkolaš	laikukas
báikkálaš	paikallinen
báitevaš	loistava
báitevaš	loistelias
báitil	loistava
bákkolaš	pakollinen
bálgáheapme	poluton
bállir	kiikkerä
bállir	ympäripyöreä
bállálas	ammuva
báltalaš	balttilainen
bánžžas	pöhöttynyt
báraheapme	pariton
báralaš	parillinen
bárrahaš	paraskin
bávččas	kipeä
bávččas	kivulias
bávččaskeahtes	kivuton
bážekeahttá	ampumaton
caggasan	estoinen
cahkkat	räikeä
ceakkus	jyrkkä
civzza	karvas
coagis	matala
coazzi	kitsas
dadnái	tinakas
dagolaš	velallinen
dalloš	silloinen
dalá	silloinen
davrras	kurttuinen
davviriikkalaš	pohjoismainen
deahkkái	lihaksikas
deaivil	osuva
deaivil	naseva
dearvvas	terve
dearvvas	terveellinen
dearvvaš	terve
dearvvaš	terveellinen
dearvvašmeahttun	epäterveellinen
deasttaheapme	häikäilemätön
deatalaš	tärkeä
deavdemeahttun	täyttymätön
deavkat	himmeä
deaŧalaš	tärkeä
dehálaš	tärkeä
deivvolaš	satunnainen
dekčolas	rusenteleva
demokráhtalaš	demokraattinen
devkesruškes	tummanruskea
diehtemeahttun	tietämätön
dielvvis	tasainen
dievas	täysi
dievaslaš	täydellinen
dievasmeahttun	epätäydellinen
dieđalaš	tieteellinen
dieđus	tiettävä
diggojahkes	käräjöivä
digitála	digitaalinen
dihkkái	täinen
dihto	tietty
dihtomielalaš	tietoinen
dihttes	tietäväinen
